# Unsolved Bitcoin Puzzles 71-99 (No Public Keys)
# Format: puzzle_number,bits,start_hex,end_hex,address,btc_prize
71,71,400000000000000000,7fffffffffffffffff,1PWo3JeB9jrGwfHDNpdGK54CRas7fsVzXU,7.10
72,72,800000000000000000,ffffffffffffffffff,1JTK7s9YVYywfm5XUH7RNhHJH1LshCaRFR,7.20
73,73,1000000000000000000,1ffffffffffffffffff,12VVRNPi4SJqUTsp6FmqDqY5sGosDtysn4,7.30
74,74,2000000000000000000,3ffffffffffffffffff,1FWGcVDK3JGzCC3WtkYetULPszMaK2Jksv,7.40
76,76,8000000000000000000,fffffffffffffffffff,1DJh2eHFYQfACPmrvpyWc8MSTYKh7w9eRF,7.60
77,77,10000000000000000000,1fffffffffffffffffff,1Bxk4CQdqL9p22JEtDfdXMsng1XacifUtE,7.70
78,78,20000000000000000000,3fffffffffffffffffff,15qF6X51huDjqTmF9BJgxXdt1xcj46Jmhb,7.80
79,79,40000000000000000000,7fffffffffffffffffff,1ARk8HWJMn8js8tQmGUJeQHjSE7KRkn2t8,7.90
81,81,100000000000000000000,1ffffffffffffffffffff,15qsCm78whspNQFydGJQk5rexzxTQopnHZ,8.10
82,82,200000000000000000000,3ffffffffffffffffffff,13zYrYhhJxp6Ui1VV7pqa5WDhNWM45ARAC,8.20
83,83,400000000000000000000,7ffffffffffffffffffff,14MdEb4eFcT3MVG5sPFG4jGLuHJSnt1Dk2,8.30
84,84,800000000000000000000,fffffffffffffffffffff,1CMq3SvFcVEcpLMuuH8PUcNiqsK1oicG2D,8.40
86,86,2000000000000000000000,3fffffffffffffffffffff,1K3x5L6G57Y494fDqBfrojD28UJv4s5JcK,8.60
87,87,4000000000000000000000,7fffffffffffffffffffff,1PxH3K1Shdjb7gSEoTX7UPDZ6SH4qGPrvq,8.70
88,88,8000000000000000000000,ffffffffffffffffffffff,16AbnZjZZipwHMkYKBSfswGWKDmXHjEpSf,8.80
89,89,10000000000000000000000,1ffffffffffffffffffffff,19QciEHbGVNY4hrhfKXmcBBCrJSBZ6TaVt,8.90
91,91,40000000000000000000000,7ffffffffffffffffffffff,1EzVHtmbN4fs4MiNk3ppEnKKhsmXYJ4s74,9.10
92,92,80000000000000000000000,fffffffffffffffffffffff,1AE8NzzgKE7Yhz7BWtAcAAxiFMbPo82NB5,9.20
93,93,100000000000000000000000,1fffffffffffffffffffffff,17Q7tuG2JwFFU9rXVj3uZqRtioH3mx2Jad,9.30
94,94,200000000000000000000000,3fffffffffffffffffffffff,1K6xGMUbs6ZTXBnhw1pippqwK6wjBWtNpL,9.40
96,96,800000000000000000000000,ffffffffffffffffffffffff,15ANYzzCp5BFHcCnVFzXqyibpzgPLWaD8b,9.60
97,97,1000000000000000000000000,1ffffffffffffffffffffffff,18ywPwj39nGjqBrQJSzZVq2izR12MDpDr8,9.70
98,98,2000000000000000000000000,3ffffffffffffffffffffffff,1CaBVPrwUxbQYYswu32w7Mj4HR4maNoJSX,9.80
99,99,4000000000000000000000000,7ffffffffffffffffffffffff,1JWnE6p6UN7ZJBN7TtcbNDoRcjFtuDWoNL,9.91
